season,team,player_id,player,position_group,position_detail,matches,minutes,defensive_actions,defensive_actions_per90,tackles,tackles_per90,tackles_won,tackles_won_per90,tackle_success_pct,interceptions,interceptions_per90,clearances,clearances_per90,aerial_duels,aerial_duels_per90,aerial_duels_won,aerial_duels_won_per90,aerial_success_pct,ball_recoveries,ball_recoveries_per90,blocked_passes,blocked_passes_per90,possession_wins,possession_wins_per90,counterpress_recoveries,counterpress_recoveries_per90,def_actions_def_third,def_actions_def_third_per90,def_actions_mid_third,def_actions_mid_third_per90,def_actions_att_third,def_actions_att_third_per90,high_defensive_action_share,def_actions_to_shot,def_actions_to_shot_per90,def_actions_to_shot_rate,def_actions_to_goal,def_actions_to_goal_per90,def_actions_to_goal_rate,fouls,fouls_per90,fouls_def_third,fouls_def_third_per90,errors,errors_per90,errors_per_100_def_actions,fouls_per_100_def_actions,defensive_retention,defensive_chain_value,defensive_chain_value_per90
Eredivisie 2025-2026,Feyenoord Rotterdam,aajft01g5yggw0is5fbfh3105,B. Nieuwkoop,Defender,Left Back,17,1664.0,123.0,6.652644230769231,20.0,1.0817307692307692,14.0,0.7572115384615384,0.7,9.0,0.4867788461538461,30.0,1.6225961538461535,31.0,1.6766826923076923,19.0,1.0276442307692308,0.6129032258064516,22.0,1.1899038461538465,6.0,0.3245192307692308,49.0,2.6502403846153846,11.0,0.5949519230769231,60.0,3.2451923076923075,40.0,2.1634615384615383,23.0,1.2439903846153846,0.18699186991869918,9.0,0.4867788461538461,0.07317073170731707,2.0,0.1081730769230769,0.016260162601626018,17.0,0.919471153846154,5.0,0.2704326923076923,0.0,0.0,0.0,13.821138211382113,0.3983739837398374,15.0,0.8112980769230769
Eredivisie 2025-2026,FC Utrecht,ubuh5wgnl0o5bn3wirdmectm,M. Eerdhuijzen,Defender,Right Back,11,1113.0,82.0,6.630727762803234,7.0,0.5660377358490566,4.0,0.3234501347708894,0.5714285714285714,5.0,0.4043126684636118,27.0,2.183288409703504,17.0,1.3746630727762803,11.0,0.889487870619946,0.6470588235294118,23.0,1.8598382749326143,1.0,0.0808625336927223,39.0,3.1536388140161726,16.0,1.293800539083558,54.0,4.366576819407008,27.0,2.183288409703504,1.0,0.0808625336927223,0.012195121951219513,4.0,0.3234501347708894,0.04878048780487805,0.0,0.0,0.0,1.0,0.0808625336927223,0.0,0.0,0.0,0.0,0.0,1.2195121951219512,0.4756097560975609,4.0,0.3234501347708894
Eredivisie 2025-2026,Go Ahead Eagles,1q0v3qpciql8rkyz4qrlvbuju,J. Breum,Midfielder,Central Midfielder,28,2688.0,197.0,6.595982142857143,17.0,0.5691964285714286,13.0,0.4352678571428571,0.7647058823529411,9.0,0.3013392857142857,27.0,0.9040178571428572,18.0,0.6026785714285714,9.0,0.3013392857142857,0.5,106.0,3.549107142857143,10.0,0.3348214285714285,121.0,4.051339285714286,44.0,1.4732142857142858,93.0,3.1138392857142856,68.0,2.2767857142857144,36.0,1.2053571428571428,0.18274111675126903,8.0,0.2678571428571428,0.04060913705583756,4.0,0.1339285714285714,0.02030456852791878,32.0,1.0714285714285714,8.0,0.2678571428571428,0.0,0.0,0.0,16.243654822335024,0.6142131979695431,20.0,0.6696428571428571
Eredivisie 2025-2026,PSV Eindhoven,21k54i5a6d9bi4f6gplgzxiw9,G. Til,Midfielder,Attacking Midfielder,29,2779.0,203.0,6.574307304785894,29.0,0.9391867578265564,13.0,0.4210147535084563,0.4482758620689655,2.0,0.0647715005397625,23.0,0.7448722562072688,67.0,2.1698452680820437,32.0,1.0363440086362,0.4776119402985074,58.0,1.8783735156531127,17.0,0.5505577545879813,97.0,3.1414177761784816,16.0,0.5181720043181001,63.0,2.040302267002519,80.0,2.5908600215905,60.0,1.9431450161928752,0.2955665024630542,25.0,0.8096437567470313,0.12315270935960591,4.0,0.129543001079525,0.019704433497536946,49.0,1.5869017632241813,7.0,0.2267002518891687,0.0,0.0,0.0,24.137931034482758,0.4778325123152709,37.0,1.1982727599856062
Eredivisie 2025-2026,Heracles Almelo,1xsy3m0bzicto5ogxsd026bmy,E. Ahlstrand,Midfielder,Left Midfielder,14,1344.0,98.0,6.5625,19.0,1.2723214285714286,15.0,1.0044642857142858,0.7894736842105263,7.0,0.46875,15.0,1.0044642857142858,12.0,0.8035714285714286,3.0,0.2008928571428571,0.25,33.0,2.2098214285714284,4.0,0.2678571428571428,43.0,2.8794642857142856,14.0,0.9375,43.0,2.8794642857142856,46.0,3.080357142857143,9.0,0.6026785714285714,0.09183673469387756,1.0,0.0669642857142857,0.01020408163265306,0.0,0.0,0.0,15.0,1.0044642857142858,4.0,0.2678571428571428,0.0,0.0,0.0,15.306122448979592,0.4387755102040816,1.0,0.0669642857142857
Eredivisie 2025-2026,FC Utrecht,dmnk8dz6w8n4fcso88fuvusfe,Zidane Iqbal,Midfielder,Right Midfielder,5,482.0,35.0,6.535269709543568,9.0,1.6804979253112031,3.0,0.5601659751037344,0.3333333333333333,4.0,0.7468879668049793,1.0,0.1867219917012448,3.0,0.5601659751037344,1.0,0.1867219917012448,0.3333333333333333,15.0,2.800829875518672,1.0,0.1867219917012448,25.0,4.668049792531121,9.0,1.6804979253112031,7.0,1.3070539419087135,23.0,4.2946058091286305,5.0,0.933609958506224,0.14285714285714285,1.0,0.1867219917012448,0.02857142857142857,0.0,0.0,0.0,6.0,1.120331950207469,1.0,0.1867219917012448,0.0,0.0,0.0,17.142857142857142,0.7142857142857143,1.0,0.1867219917012448
Eredivisie 2025-2026,FC Utrecht,c3j7m8kaoius8i6jihubgy6p6,Ángel Alarcón,Midfielder,Attacking Midfielder,14,1393.0,101.0,6.525484565685571,10.0,0.6460875807609476,5.0,0.3230437903804738,0.5,3.0,0.1938262742282842,2.0,0.1292175161521895,21.0,1.35678391959799,10.0,0.6460875807609476,0.4761904761904761,44.0,2.8427853553481692,8.0,0.5168700646087581,45.0,2.907394113424264,19.0,1.2275664034458005,32.0,2.067480258435032,44.0,2.8427853553481692,25.0,1.615218951902369,0.24752475247524752,17.0,1.098348887293611,0.16831683168316833,1.0,0.0646087580760947,0.009900990099009901,15.0,0.9691313711414212,2.0,0.1292175161521895,0.0,0.0,0.0,14.851485148514852,0.4455445544554455,20.0,1.2921751615218953
Eredivisie 2025-2026,PSV Eindhoven,biee6dvb524juzai7iryyskix,D. Man,Midfielder,Attacking Midfielder,25,2404.0,173.0,6.476705490848586,10.0,0.3743760399334442,8.0,0.2995008319467554,0.8,5.0,0.1871880199667221,15.0,0.5615640599001663,33.0,1.235440931780366,14.0,0.5241264559068219,0.4242424242424242,81.0,3.0324459234608985,13.0,0.4866888519134775,96.0,3.594009983361065,26.0,0.9733777038269552,64.0,2.3960066555740434,70.0,2.6206322795341097,39.0,1.4600665557404326,0.2254335260115607,14.0,0.5241264559068219,0.08092485549132948,2.0,0.0748752079866888,0.011560693641618497,36.0,1.3477537437603992,7.0,0.2620632279534109,0.0,0.0,0.0,20.809248554913296,0.5549132947976878,20.0,0.7487520798668885
Eredivisie 2025-2026,FC Groningen,679ax4aocvzlvj4i7a1bb8rv8,T. Mercera,Defender,Left Back,22,2141.0,154.0,6.473610462400747,25.0,1.0509107893507708,12.0,0.5044371788883699,0.48,5.0,0.2101821578701541,29.0,1.219056515646894,61.0,2.5642223260158805,24.0,1.0088743577767398,0.3934426229508196,29.0,1.219056515646894,1.0,0.0420364315740308,74.0,3.110695936478282,18.0,0.7566557683325549,73.0,3.06865950490425,58.0,2.438113031293788,23.0,0.966837926202709,0.14935064935064934,3.0,0.1261092947220924,0.01948051948051948,1.0,0.0420364315740308,0.006493506493506494,24.0,1.0088743577767398,7.0,0.2942550210182157,0.0,0.0,0.0,15.584415584415584,0.4805194805194805,6.0,0.2522185894441849
Eredivisie 2025-2026,Heracles Almelo,d5wx8rvjfaw1arn69fdd64d90,R. Bozinovski,Midfielder,Central Midfielder,8,771.0,55.0,6.42023346303502,8.0,0.933852140077821,2.0,0.2334630350194552,0.25,5.0,0.5836575875486382,10.0,1.1673151750972763,15.0,1.7509727626459144,4.0,0.4669260700389105,0.2666666666666666,13.0,1.517509727626459,2.0,0.2334630350194552,25.0,2.9182879377431905,8.0,0.933852140077821,24.0,2.801556420233463,29.0,3.385214007782101,2.0,0.2334630350194552,0.03636363636363636,1.0,0.1167315175097276,0.01818181818181818,0.0,0.0,0.0,12.0,1.4007782101167314,3.0,0.3501945525291828,0.0,0.0,0.0,21.818181818181817,0.4545454545454545,1.0,0.1167315175097276
