player,team,crosses,completed,expected_completed,completion_rate,expected_completion_rate,xP_added_value
V. Edvardsen,Go Ahead Eagles,45,7,7.9,15.6,17.5,-0.9
I. Saibari,PSV Eindhoven,16,2,2.9,12.5,17.9,-0.9
S. Berghuis,AFC Ajax,35,6,7.0,17.1,19.9,-1.0
S. Ouaissa,Nijmegen Eendracht Combinatie,87,16,17.0,18.4,19.5,-1.0
O. Gloukh,AFC Ajax,15,2,3.0,13.3,19.8,-1.0
P. Ugwu,FC Volendam,24,3,4.1,12.5,17.1,-1.1
Weslley Patati,Alkmaar Zaanstreek,22,3,4.1,13.6,18.7,-1.1
M. van Bergen,Sparta Rotterdam,183,37,38.1,20.2,20.8,-1.1
B. Limbombe,Heracles Almelo,57,10,11.2,17.5,19.6,-1.2
G. Vianello,Sparta Rotterdam,15,2,3.2,13.3,21.1,-1.2
A. Zagré,SBV Excelsior,35,4,5.2,11.4,14.8,-1.2
P. Koopmeiners,Alkmaar Zaanstreek,22,4,5.2,18.2,23.5,-1.2
G. Offerhaus,SC Telstar,19,2,3.2,10.5,16.7,-1.2
R. Bounida,AFC Ajax,23,4,5.2,17.4,22.7,-1.2
I. Mesík,Heracles Almelo,42,7,8.2,16.7,19.6,-1.2
B. van Rooij,FC Twente,68,13,14.2,19.1,20.9,-1.2
S. Mitrović,SBV Excelsior,18,2,3.3,11.1,18.1,-1.3
M. Engels,Heracles Almelo,27,4,5.4,14.8,19.9,-1.4
V. Misidjan,Nijmegen Eendracht Combinatie,19,2,3.4,10.5,17.7,-1.4
K. Goudmijn,Go Ahead Eagles,27,3,4.4,11.1,16.3,-1.4
T. Quintero,Sparta Rotterdam,35,6,7.4,17.1,21.3,-1.4
B. Ghalidi,NAC Breda,25,4,5.5,16.0,21.9,-1.5
Raúl Moro,AFC Ajax,34,5,6.5,14.7,19.2,-1.5
E. Gürbüz,SC Heerenveen,17,1,2.7,5.9,15.6,-1.7
S. Sambo,Sparta Rotterdam,21,2,3.7,9.5,17.4,-1.7
M. Seuntjens,FC Groningen,15,1,2.7,6.7,17.9,-1.7
K. Sowah,NAC Breda,56,10,11.8,17.9,21.1,-1.8
J. Ritmeester van de Kamp,SC Telstar,45,8,9.9,17.8,21.9,-1.9
Ayoni Santos,Sparta Rotterdam,26,3,4.9,11.5,18.8,-1.9
B. Kemper,NAC Breda,114,21,22.9,18.4,20.1,-1.9
C. Leemans,NAC Breda,21,2,4.0,9.5,19.2,-2.0
R. van Cruijsen,FC Volendam,18,2,4.1,11.1,22.6,-2.1
R. Margaret,Go Ahead Eagles,43,6,8.2,14.0,19.0,-2.2
T. Baeten,Go Ahead Eagles,56,7,9.2,12.5,16.4,-2.2
D. Payne,FC Volendam,18,1,3.6,5.6,19.9,-2.6
T. Oosting,PEC Zwolle,20,0,2.7,0.0,13.3,-2.7
Lucas Rosa,AFC Ajax,27,3,5.7,11.1,21.1,-2.7
S. Dest,PSV Eindhoven,55,10,12.7,18.2,23.1,-2.7
D. van der Kust,Heracles Almelo,31,3,5.9,9.7,19.1,-2.9
J. Trenskow,SC Heerenveen,52,7,10.5,13.5,20.1,-3.5
D. James,Go Ahead Eagles,75,12,15.6,16.0,20.8,-3.6
A. Lechkar,SC Telstar,20,0,3.8,0.0,18.8,-3.8
A. Gaaei,AFC Ajax,94,15,18.8,16.0,20.0,-3.8
J. Ideho,FC Volendam,42,5,9.0,11.9,21.3,-4.0
A. Oufkir,Sparta Rotterdam,25,1,5.1,4.0,20.4,-4.1
M. Rivera,SC Heerenveen,61,7,11.3,11.5,18.6,-4.3
T. Chery,Nijmegen Eendracht Combinatie,70,9,13.5,12.9,19.3,-4.5
P. Brouwer,SC Telstar,32,1,5.8,3.1,18.1,-4.8
S. Mijnans,Alkmaar Zaanstreek,26,1,6.3,3.8,24.2,-5.3
