player,team,attempts,completed,expected,completion_rate,added_value
D. James,Go Ahead Eagles,25,3,5.753174687507202,0.12,-2.753174687507202
A. Hrustić,Heracles Almelo,24,7,6.09819710038499,0.2916666666666667,0.90180289961501
S. Horemans,FC Utrecht,23,12,6.2917719107493815,0.5217391304347826,5.7082280892506185
B. Ould-Chikh,FC Volendam,23,10,5.547625121495967,0.43478260869565216,4.452374878504033
E. Dasa,Nijmegen Eendracht Combinatie,23,8,5.833816155169459,0.34782608695652173,2.166183844830541
D. van der Werff,FC Groningen,22,6,4.823044244388706,0.2727272727272727,1.176955755611294
J. Trenskow,SC Heerenveen,22,5,5.915724688782812,0.22727272727272727,-0.9157246887828121
I. Jensen,Alkmaar Zaanstreek,22,9,5.1137205613330865,0.4090909090909091,3.8862794386669135
M. Rente,FC Groningen,22,5,5.259361073355225,0.22727272727272727,-0.2593610733552252
J. Veerman,PSV Eindhoven,21,7,5.1915153299504215,0.3333333333333333,1.8084846700495785
S. Ørjasæter,FC Twente,21,4,5.345431437102861,0.19047619047619047,-1.345431437102861
D. Kasius,Alkmaar Zaanstreek,21,5,3.5090693262976913,0.23809523809523808,1.4909306737023087
A. Oehlers,FC Volendam,21,5,4.773268485696654,0.23809523809523808,0.2267315143033457
S. Mijnans,Alkmaar Zaanstreek,20,5,5.614591830389898,0.25,-0.6145918303898981
M. Rivera,SC Heerenveen,20,3,5.047847727762417,0.15,-2.0478477277624174
M. Rots,FC Twente,20,3,4.746645241012516,0.15,-1.7466452410125157
M. Nassoh,NAC Breda,19,2,4.466479050910469,0.10526315789473684,-2.4664790509104693
J. Schreuders,FC Groningen,19,4,4.329834156321589,0.21052631578947367,-0.3298341563215894
J. Ritmeester van de Kamp,SC Telstar,19,4,4.37844211450629,0.21052631578947367,-0.3784421145062904
K. Peterson,Fortuna Sittard,19,3,3.4847591531631696,0.15789473684210525,-0.48475915316316964
V. Edvardsen,Go Ahead Eagles,19,4,5.101881000809945,0.21052631578947367,-1.1018810008099447
M. Peersman,FC Groningen,18,2,4.005868448656833,0.1111111111111111,-2.005868448656833
P. Brouwer,SC Telstar,18,4,4.366950524289354,0.2222222222222222,-0.36695052428935426
A. Adelgaard,Go Ahead Eagles,18,6,4.181803298489128,0.3333333333333333,1.818196701510872
M. Suray,Go Ahead Eagles,18,1,3.99876643608351,0.05555555555555555,-2.99876643608351
L. Valente,Feyenoord Rotterdam,18,7,4.417574738186968,0.3888888888888889,2.5824252618130323
S. Berghuis,AFC Ajax,17,7,4.91475224754358,0.4117647058823529,2.0852477524564197
G. Zechiël,FC Utrecht,17,6,4.034841350332439,0.35294117647058826,1.9651586496675613
C. Driouech,PSV Eindhoven,17,3,4.42422420074686,0.17647058823529413,-1.4242242007468597
A. Sliti,Feyenoord Rotterdam,17,5,4.004434835363062,0.29411764705882354,0.9955651646369379
C. Brym,NAC Breda,17,6,5.108373846881406,0.35294117647058826,0.8916261531185938
J. Dahlhaus,Fortuna Sittard,17,5,4.526204166628432,0.29411764705882354,0.47379583337156816
R. Zerrouki,FC Twente,16,5,4.683129648854644,0.3125,0.3168703511453561
J. Kramer,Go Ahead Eagles,16,8,4.068684543281499,0.5,3.931315456718501
K. Sowah,NAC Breda,16,5,4.308218545467807,0.3125,0.691781454532193
M. Benita,Heracles Almelo,16,5,3.817365227424513,0.3125,1.1826347725754869
S. Resink,FC Groningen,16,5,3.658263952422194,0.3125,1.3417360475778062
T. Bruns,Heracles Almelo,15,3,2.9917623976925807,0.2,0.008237602307419323
I. Yegoian,SBV Excelsior,15,5,4.448594573718012,0.3333333333333333,0.5514054262819883
G. Smal,Feyenoord Rotterdam,15,2,3.140783374866797,0.13333333333333333,-1.140783374866797
R. Paula,NAC Breda,15,4,3.727586185078452,0.26666666666666666,0.2724138149215478
C. Valerius,NAC Breda,15,7,3.5664199268552688,0.4666666666666667,3.4335800731447312
Ángel Alarcón,FC Utrecht,15,5,3.062936473023361,0.3333333333333333,1.937063526976639
Lucas Rosa,AFC Ajax,14,2,3.631541631522476,0.14285714285714285,-1.631541631522476
D. van der Kust,Heracles Almelo,14,2,3.6652597776512446,0.14285714285714285,-1.6652597776512446
D. Fonville,Nijmegen Eendracht Combinatie,14,6,3.7095867698260685,0.42857142857142855,2.2904132301739315
M. Deijl,Go Ahead Eagles,14,5,3.440784044125733,0.35714285714285715,1.5592159558742669
R. Margaret,Go Ahead Eagles,14,0,2.999629480721683,0.0,-2.999629480721683
K. Sildillia,PSV Eindhoven,14,3,3.9745713693518616,0.21428571428571427,-0.9745713693518616
I. Mesík,Heracles Almelo,14,1,2.772127570800588,0.07142857142857142,-1.772127570800588
Raúl Moro,AFC Ajax,14,2,3.396675075661583,0.14285714285714285,-1.3966750756615829
Weslley Patati,Alkmaar Zaanstreek,14,2,3.2070683752634763,0.14285714285714285,-1.2070683752634763
Y. Namli,PEC Zwolle,14,4,3.6608190975361765,0.2857142857142857,0.3391809024638235
O. Wijndal,AFC Ajax,13,4,3.1184678480547134,0.3076923076923077,0.8815321519452866
J. Ideho,FC Volendam,13,0,2.6912533989015484,0.0,-2.6912533989015484
A. Oufkir,Sparta Rotterdam,13,1,3.228911848752609,0.07692307692307693,-2.228911848752609
M. Pjaca,FC Twente,13,5,3.5951656730452175,0.38461538461538464,1.4048343269547825
J. Wieckhoff,Heracles Almelo,12,2,2.946207011424626,0.16666666666666666,-0.9462070114246259
G. Read,Feyenoord Rotterdam,12,4,2.9320951876263486,0.3333333333333333,1.0679048123736514
J. Slory,Go Ahead Eagles,12,3,3.0046306131914178,0.25,-0.004630613191417776
S. Mito,Sparta Rotterdam,12,2,2.9882854980713525,0.16666666666666666,-0.9882854980713525
Mauro Júnior,PSV Eindhoven,12,4,2.7913330635259364,0.3333333333333333,1.2086669364740636
A. Zagré,SBV Excelsior,12,2,2.8913070954693163,0.16666666666666666,-0.8913070954693163
D. Nejašmić,Nijmegen Eendracht Combinatie,12,4,3.0935751900458186,0.3333333333333333,0.9064248099541814
Miguel Rodríguez,FC Utrecht,12,5,3.408468335868708,0.4166666666666667,1.591531664131292
P. Koopmeiners,Alkmaar Zaanstreek,12,1,3.2877942578153037,0.08333333333333333,-2.2877942578153037
T. Baeten,Go Ahead Eagles,12,0,2.7096551770565287,0.0,-2.7096551770565287
T. Oosting,PEC Zwolle,12,0,3.1727355574628575,0.0,-3.1727355574628575
Ayoni Santos,Sparta Rotterdam,12,1,3.320904321631976,0.08333333333333333,-2.320904321631976
T. de Jonge,FC Groningen,11,5,2.835414099036597,0.45454545454545453,2.164585900963403
V. Misidjan,Nijmegen Eendracht Combinatie,11,2,2.775997299947019,0.18181818181818182,-0.775997299947019
G. Til,PSV Eindhoven,11,1,2.4635561893935805,0.09090909090909091,-1.4635561893935805
J. Karlsson,FC Utrecht,11,3,2.5194366472404837,0.2727272727272727,0.48056335275951634
A. Blake,FC Utrecht,11,3,2.416135387980213,0.2727272727272727,0.583864612019787
R. Bounida,AFC Ajax,11,1,2.192800417986247,0.09090909090909091,-1.192800417986247
C. Hatenboer,SC Telstar,11,4,3.3441314587456334,0.36363636363636365,0.6558685412543666
C. Leemans,NAC Breda,11,3,2.7040820718619627,0.2727272727272727,0.2959179281380373
O. Edvardsen,AFC Ajax,11,2,2.5478665504213547,0.18181818181818182,-0.5478665504213547
B. Linssen,Nijmegen Eendracht Combinatie,10,2,2.558391168670939,0.2,-0.5583911686709389
D. Odoi,NAC Breda,10,3,2.5067113911132193,0.3,0.4932886088867807
I. Saibari,PSV Eindhoven,10,1,2.774619483101915,0.1,-1.7746194831019149
K. Goudmijn,Go Ahead Eagles,10,3,2.595125379721336,0.3,0.40487462027866394
O. Aertssen,PEC Zwolle,10,5,2.649596938203685,0.5,2.350403061796315
R. Thomas,PEC Zwolle,10,1,1.9592589939226195,0.1,-0.9592589939226195
T. Quintero,Sparta Rotterdam,9,0,1.8355667657921604,0.0,-1.8355667657921604
T. van den Belt,FC Twente,9,0,2.7146436804254295,0.0,-2.7146436804254295
S. Floranus,PEC Zwolle,9,3,1.9690872486469366,0.3333333333333333,1.0309127513530634
C. Terho,Sparta Rotterdam,9,3,2.132523090491133,0.3333333333333333,0.8674769095088668
G. Crettaz,Nijmegen Eendracht Combinatie,9,0,0.2769624127778699,0.0,-0.2769624127778699
D. Payne,FC Volendam,9,1,2.2762904741796994,0.1111111111111111,-1.2762904741796994
J. Breum,Go Ahead Eagles,9,3,2.2894792079715973,0.3333333333333333,0.7105207920284027
M. Meulensteen,Go Ahead Eagles,9,1,2.5263678618876386,0.1111111111111111,-1.5263678618876386
O. Kökçü,FC Volendam,9,3,2.1191485431933894,0.3333333333333333,0.8808514568066106
R. Daal,Alkmaar Zaanstreek,8,3,2.93880214150978,0.375,0.06119785849022019
O. Velanas,PEC Zwolle,8,3,2.4845884522792434,0.375,0.5154115477207566
L. Holtby,NAC Breda,8,3,1.9971761855304586,0.375,1.0028238144695414
Gonçalo Borges,Feyenoord Rotterdam,8,2,2.0356602980982146,0.25,-0.03566029809821458
T. Owusu,SC Telstar,8,2,2.071167008495311,0.25,-0.0711670084953111
A. Lechkar,SC Telstar,8,0,2.132697141232207,0.0,-2.132697141232207
R. van Cruijsen,FC Volendam,8,1,1.5438358651437691,0.125,-0.5438358651437691
S. Sambo,Sparta Rotterdam,8,1,1.9022583800820778,0.125,-0.9022583800820778
M. Engels,Heracles Almelo,8,2,1.5922665168555517,0.25,0.40773348314444835
E. Hansson,SBV Excelsior,8,3,1.7932086140419832,0.375,1.2067913859580168
Hwang In-Beom,Feyenoord Rotterdam,8,2,2.0077322175582832,0.25,-0.007732217558283239
G. Offerhaus,SC Telstar,8,0,1.782236053926906,0.0,-1.782236053926906
B. Ghalidi,NAC Breda,8,1,1.9009885152673407,0.125,-0.9009885152673407
D. Man,PSV Eindhoven,8,4,2.208982850031226,0.5,1.791017149968774
V. van Crooij,Sparta Rotterdam,7,1,1.7234505892172836,0.14285714285714285,-0.7234505892172836
T. Ouwejan,Nijmegen Eendracht Combinatie,7,3,1.7680768851974349,0.42857142857142855,1.2319231148025651
A. Kaplan,Nijmegen Eendracht Combinatie,7,1,1.3986131364799028,0.14285714285714285,-0.3986131364799028
T. Mercera,FC Groningen,7,2,1.6322755403159008,0.2857142857142857,0.36772445968409917
L. Brouwers,SC Heerenveen,7,2,2.3770567759307415,0.2857142857142857,-0.3770567759307415
P. Ugwu,FC Volendam,7,0,1.757137617078035,0.0,-1.757137617078035
B. Martins Indi,Sparta Rotterdam,7,3,1.6030882665577142,0.42857142857142855,1.3969117334422858
Jamiro Monteiro,PEC Zwolle,7,0,1.2972934168983907,0.0,-1.2972934168983907
J. Moder,Feyenoord Rotterdam,7,1,1.354445419374863,0.14285714285714285,-0.35444541937486296
E. Ahlstrand,Heracles Almelo,7,1,2.069932893226865,0.14285714285714285,-1.069932893226865
W. Prins,FC Groningen,7,1,1.5072129512752526,0.14285714285714285,-0.5072129512752526
B. Kuwas,FC Volendam,7,3,1.9675370116432005,0.42857142857142855,1.0324629883567995
L. Sauer,Feyenoord Rotterdam,7,2,1.7174874778336333,0.2857142857142857,0.2825125221663667
G. Yah,FC Volendam,7,1,1.675274852694102,0.14285714285714285,-0.6752748526941019
K. Smit,Alkmaar Zaanstreek,7,2,2.1213333987506693,0.2857142857142857,-0.12133339875066929
K. Hlynsson,FC Twente,7,0,1.7331220074495726,0.0,-1.7331220074495726
E. Linthorst,Go Ahead Eagles,7,0,2.0366066021365694,0.0,-2.0366066021365694
N. Naujoks,SBV Excelsior,7,0,1.736478406663531,0.0,-1.736478406663531
M. Aïko,Fortuna Sittard,7,2,1.7030991815476173,0.2857142857142857,0.2969008184523827
O. Gloukh,AFC Ajax,7,0,1.4478364702900455,0.0,-1.4478364702900455
M. Seuntjens,FC Groningen,7,2,2.048112163600899,0.2857142857142857,-0.048112163600899205
O. Sivertsen,Go Ahead Eagles,7,3,1.3815814622406932,0.42857142857142855,1.6184185377593068
R. Meerveld,SC Heerenveen,7,5,2.2695402546592973,0.7142857142857143,2.7304597453407027
J. Toornstra,Sparta Rotterdam,6,1,1.471652354186904,0.16666666666666666,-0.471652354186904
T. Land,FC Groningen,6,1,1.7140724411009345,0.16666666666666666,-0.7140724411009345
T. Lauritsen,Sparta Rotterdam,6,0,0.6158646930298893,0.0,-0.6158646930298893
S. Janssen,SBV Excelsior,6,3,1.2114933700331858,0.5,1.7885066299668142
R. Pröpper,FC Twente,6,0,0.5611417691147806,0.0,-0.5611417691147806
G. Alders,SC Telstar,6,2,1.5363313071823217,0.3333333333333333,0.4636686928176783
B. Pauwels,FC Volendam,6,1,1.2339563471720427,0.16666666666666666,-0.23395634717204272
A. Salah-Eddine,PSV Eindhoven,6,2,1.7873854897647867,0.3333333333333333,0.21261451023521327
L. Martes,Sparta Rotterdam,6,2,1.5455775234203997,0.3333333333333333,0.45442247657960033
K. Taylor,AFC Ajax,6,1,1.7636658411865729,0.16666666666666666,-0.7636658411865729
K. Kostons,PEC Zwolle,6,2,1.398135299641734,0.3333333333333333,0.601864700358266
P. Clement,Sparta Rotterdam,6,1,1.5125190818184906,0.16666666666666666,-0.5125190818184906
É. Michut,Fortuna Sittard,6,0,1.167242336192253,0.0,-1.167242336192253
A. Sampsted,Go Ahead Eagles,6,1,1.4459412656836612,0.16666666666666666,-0.4459412656836612
N. Vesterlund,FC Utrecht,6,1,1.4901554254993896,0.16666666666666666,-0.4901554254993896
N. Ünüvar,FC Twente,6,1,1.363441688485537,0.16666666666666666,-0.36344168848553693
A. Ayew,NAC Breda,6,2,1.654410503441096,0.3333333333333333,0.3455894965589039
M. Chávez,Alkmaar Zaanstreek,6,1,2.017056102689319,0.16666666666666666,-1.017056102689319
B. Pereira,Nijmegen Eendracht Combinatie,6,3,2.043925206296014,0.5,0.9560747937039862
J. Bacuna,FC Volendam,6,1,1.1166922818383125,0.16666666666666666,-0.11669228183831248
M. Jonathans,FC Utrecht,5,0,1.0276325614011732,0.0,-1.0276325614011732
Y. El Kachati,Nijmegen Eendracht Combinatie,5,0,0.8883599148036705,0.0,-0.8883599148036705
T. van Bergen,FC Groningen,5,1,1.619853991074598,0.2,-0.6198539910745979
T. van Gilst,Heracles Almelo,5,1,1.4122771013449802,0.2,-0.4122771013449802
K. van Oevelen,FC Volendam,5,1,0.2781734611863519,0.2,0.7218265388136481
Nigel Ogidi Nwankwo,SC Telstar,5,2,1.3460377431192807,0.4,0.6539622568807193
A. MacNulty,PEC Zwolle,5,0,0.8794967628729812,0.0,-0.8794967628729812
J. Kitolano,Sparta Rotterdam,5,0,1.2680096371656673,0.0,-1.2680096371656673
L. Duijvestijn,Fortuna Sittard,5,1,1.1981141438172824,0.2,-0.19811414381728243
K. Tejan,SC Telstar,5,2,0.9259929914174504,0.4,1.0740070085825497
L. Kulenović,Heracles Almelo,5,0,1.6685765834424868,0.0,-1.6685765834424868
P. van Aanholt,Sparta Rotterdam,5,1,1.2624230499530573,0.2,-0.2624230499530573
C. Bozdoğan,FC Utrecht,5,1,0.991355011004958,0.2,0.008644988995041958
J. Drommel,Sparta Rotterdam,5,0,0.3105510748672289,0.0,-0.3105510748672289
L. Duijvestijn,Sparta Rotterdam,5,0,1.310317862922648,0.0,-1.310317862922648
M. Smit,Go Ahead Eagles,5,0,1.3806938240020967,0.0,-1.3806938240020967
S. Hetli,SC Telstar,5,2,1.280849500953397,0.4,0.7191504990466031
D. Mertens,SC Telstar,5,1,1.2389816623818417,0.2,-0.2389816623818417
S. van Duijn,SC Telstar,5,0,1.1564409257128285,0.0,-1.1564409257128285
M. te Wierik,Heracles Almelo,5,4,1.0835971821154498,0.8,2.91640281788455
Y. Regeer,AFC Ajax,5,0,1.3086926379436303,0.0,-1.3086926379436303
J. Lotomba,Feyenoord Rotterdam,5,2,1.1346209085385786,0.4,0.8653790914614214
Z. Buurmeester,PEC Zwolle,4,0,0.7219372625947468,0.0,-0.7219372625947468
N. Bukala,FC Volendam,4,1,1.0392487146059854,0.25,-0.039248714605985446
S. van Gassel,SBV Excelsior,4,0,0.1417924623489317,0.0,-0.1417924623489317
S. Graves,PEC Zwolle,4,1,1.0344389985912394,0.25,-0.034438998591239445
S. Kersten,SC Heerenveen,4,0,0.5091519471329999,0.0,-0.5091519471329999
T. Blokzijl,FC Groningen,4,2,0.8755933712499766,0.5,1.1244066287500234
T. Watanabe,Feyenoord Rotterdam,4,1,0.8730241826049943,0.25,0.12697581739500574
S. Shoretire,PEC Zwolle,4,0,0.6956815868973072,0.0,-0.6956815868973072
T. Booth,FC Twente,4,1,1.224275444924041,0.25,-0.22427544492404095
D. Klaassen,AFC Ajax,4,1,0.9380608014141314,0.25,0.061939198585868604
M. de Wit,Alkmaar Zaanstreek,4,4,1.0670363610753886,1.0,2.9329636389246114
A. Verschueren,FC Twente,4,4,2.0735359582358925,1.0,1.9264640417641075
M. Linday,SC Heerenveen,4,2,1.2543201932936687,0.5,0.7456798067063313
D. Bakker,SC Telstar,4,0,0.609802190005019,0.0,-0.609802190005019
C. Twigt,Go Ahead Eagles,4,0,1.1162837436357755,0.0,-1.1162837436357755
M. Deijl,Feyenoord Rotterdam,4,0,0.5628244607305807,0.0,-0.5628244607305807
M. Balard,NAC Breda,4,1,1.450346477028016,0.25,-0.4503464770280159
N. Martens,SBV Excelsior,4,0,0.8278784075539469,0.0,-0.8278784075539469
A. Van Hoorenbeeck,Heracles Almelo,4,2,0.8965725440316628,0.5,1.1034274559683372
Q. Timber,Feyenoord Rotterdam,4,2,1.0070797679866106,0.5,0.9929202320133894
K. de Rooij,PEC Zwolle,4,2,2.090825119924104,0.5,-0.09082511992410414
J. Hornkamp,Heracles Almelo,4,4,1.452914027491032,1.0,2.547085972508968
L. Oyen,SC Heerenveen,4,1,1.0265032839573092,0.25,-0.026503283957309165
T. van den Elshout,Feyenoord Rotterdam,4,0,0.7612903145092619,0.0,-0.7612903145092619
V. van Crooij,Nijmegen Eendracht Combinatie,4,0,1.3222878302655205,0.0,-1.3222878302655205
Y. Baas,AFC Ajax,4,2,1.1415854226154163,0.5,0.8584145773845837
A. Oufkir,Alkmaar Zaanstreek,4,0,1.003847261859898,0.0,-1.003847261859898
J. Mokio,AFC Ajax,4,0,0.4594740759183973,0.0,-0.4594740759183973
G. Vianello,Sparta Rotterdam,4,0,0.7098693217165257,0.0,-0.7098693217165257
H. Petrov,SC Heerenveen,4,0,1.1628022271181861,0.0,-1.1628022271181861
I. Sadiq,Alkmaar Zaanstreek,4,2,1.1389485816354465,0.5,0.8610514183645535
N. Kasanwirjo,Fortuna Sittard,4,1,0.861958988006861,0.25,0.138041011993139
B. Nieuwkoop,Feyenoord Rotterdam,4,1,0.9310204752463698,0.25,0.06897952475363023
P. Wanner,PSV Eindhoven,4,2,0.9857988190934502,0.5,1.0142011809065496
C. Widell,SBV Excelsior,4,1,0.5918000896207103,0.25,0.4081999103792897
L. Nordås,SC Heerenveen,4,0,0.8725192967666723,0.0,-0.8725192967666723
P. Brittijn,Fortuna Sittard,4,1,0.9562218958503369,0.25,0.0437781041496631
A. Descotte,FC Volendam,3,1,0.7373823350283504,0.3333333333333333,0.2626176649716496
A. Engwanda,FC Utrecht,3,1,0.8034592788732653,0.3333333333333333,0.1965407211267347
M. Tielemans,SBV Excelsior,3,1,0.7473467622687275,0.3333333333333333,0.25265323773127246
D. Kwakman,FC Volendam,3,1,0.7663349111948534,0.3333333333333333,0.23366508880514658
D. Koswal,SC Telstar,3,0,0.8352824243521728,0.0,-0.8352824243521728
M. van Duinen,SBV Excelsior,3,0,0.25357595476529476,0.0,-0.25357595476529476
D. Murkin,FC Utrecht,3,1,0.6722534283109147,0.3333333333333333,0.3277465716890853
J. Slory,Feyenoord Rotterdam,3,0,0.7792364031812647,0.0,-0.7792364031812647
J. Žambůrek,Heracles Almelo,3,1,0.8984902866963922,0.3333333333333333,0.10150971330360781
B. Lucassen,NAC Breda,3,1,0.7842202468663411,0.3333333333333333,0.21577975313365894
S. Mitrović,SBV Excelsior,3,0,0.7756409405571907,0.0,-0.7756409405571907
W. Goes,Alkmaar Zaanstreek,3,0,0.7295327897550736,0.0,-0.7295327897550736
J. Lonwijk,Fortuna Sittard,3,1,0.9173552950414995,0.3333333333333333,0.08264470495850051
L. Greiml,NAC Breda,3,0,0.8962217444127422,0.0,-0.8962217444127422
O. Pettersson,Go Ahead Eagles,3,0,0.9077058205926505,0.0,-0.9077058205926505
P. Gladon,Fortuna Sittard,3,0,0.39373162640088283,0.0,-0.39373162640088283
R. Metu,FC Groningen,3,1,0.9031033028803229,0.3333333333333333,0.09689669711967708
R. Hillen,NAC Breda,3,1,0.655526667692115,0.3333333333333333,0.344473332307885
K. Sierhuis,Fortuna Sittard,3,1,0.4775652364641138,0.3333333333333333,0.5224347635358861
J. Hubner,Fortuna Sittard,3,1,0.4690634379404617,0.3333333333333333,0.5309365620595383
E. Dijkstra,Alkmaar Zaanstreek,3,0,0.7680623684989093,0.0,-0.7680623684989093
G. Diarra,Feyenoord Rotterdam,3,1,0.8804796566725991,0.3333333333333333,0.11952034332740091
M. Didden,FC Utrecht,3,1,0.4935574576594869,0.3333333333333333,0.5064425423405131
M. Meerdink,Alkmaar Zaanstreek,3,0,0.7482851436577207,0.0,-0.7482851436577207
M. Jonathans,SBV Excelsior,3,3,0.9451945267650044,1.0,2.0548054732349956
E. Vaessen,FC Groningen,3,0,0.1267253529203022,0.0,-0.1267253529203022
D. de Wit,FC Utrecht,3,0,0.6711983906650956,0.0,-0.6711983906650956
D. Vente,SC Heerenveen,3,0,0.5137867905863795,0.0,-0.5137867905863795
M. Kjølø,FC Twente,3,0,0.816216086178403,0.0,-0.816216086178403
E. Gürbüz,SC Heerenveen,3,0,0.847831613151437,0.0,-0.847831613151437
C. Nadje,SBV Excelsior,3,1,0.6715322260848421,0.3333333333333333,0.3284677739151579
M. Bruns,FC Twente,3,0,0.7228882585921906,0.0,-0.7228882585921906
N. Ünüvar,Heracles Almelo,3,1,0.7275287367410079,0.3333333333333333,0.27247126325899207
N. Lebreton,Nijmegen Eendracht Combinatie,3,0,0.700437529657814,0.0,-0.700437529657814
Zidane Iqbal,FC Utrecht,3,1,0.8752035863039183,0.3333333333333333,0.12479641369608174
B. Klaverboer,SC Heerenveen,3,0,0.1482280322099874,0.0,-0.1482280322099874
A. Stepanov,FC Utrecht,3,1,1.2856101700585174,0.3333333333333333,-0.2856101700585174
A. Meijers,FC Volendam,3,1,0.7766735561047494,0.3333333333333333,0.22332644389525058
A. Plat,FC Volendam,2,0,0.3779943191786994,0.0,-0.3779943191786994
A. Salama,NAC Breda,2,0,0.3427580579991944,0.0,-0.3427580579991944
A. van Axel Dongen,SC Heerenveen,2,0,0.4195228012060549,0.0,-0.4195228012060549
A. Ueda,Feyenoord Rotterdam,2,1,0.31000251035872173,0.5,0.6899974896412783
W. Weghorst,AFC Ajax,2,1,0.342986425229288,0.5,0.657013574770712
B. Nuytinck,Nijmegen Eendracht Combinatie,2,0,0.6937440969831338,0.0,-0.6937440969831338
Y. Salah Rahmouni,Go Ahead Eagles,2,0,0.5752466579555141,0.0,-0.5752466579555141
Y. Borges Sanches,Heracles Almelo,2,1,0.5331054518995051,0.5,0.4668945481004949
R. Fosso,Fortuna Sittard,2,1,0.6354500383067763,0.5,0.36454996169322373
R. Flamingo,PSV Eindhoven,2,0,0.4378652888045885,0.0,-0.4378652888045885
R. Meissen,SBV Excelsior,2,0,0.1003545341773058,0.0,-0.1003545341773058
R. Mühren,FC Volendam,2,1,0.5410837254867275,0.5,0.45891627451327255
K. Itakura,AFC Ajax,2,1,0.41409151746747375,0.5,0.5859084825325263
R. Nijstad,FC Twente,2,0,0.2285514848098371,0.0,-0.2285514848098371
L. Schouten,SBV Excelsior,2,0,0.5432422639082743,0.0,-0.5432422639082743
K. Shiogai,Nijmegen Eendracht Combinatie,2,0,0.4377001558180797,0.0,-0.4377001558180797
Neville Ogidi Nwankwo,SC Telstar,2,0,0.35739307840112156,0.0,-0.35739307840112156
M. Branderhorst,Fortuna Sittard,2,0,0.09864520819948219,0.0,-0.09864520819948219
N. Fernandez,PSV Eindhoven,2,1,0.5328375362477988,0.5,0.46716246375220116
M. Šín,Alkmaar Zaanstreek,2,0,0.5597032038382675,0.0,-0.5597032038382675
M. van der Hoorn,FC Utrecht,2,1,0.3232899567011946,0.5,0.6767100432988054
M. van Bergen,FC Twente,2,0,0.5412061586281489,0.0,-0.5412061586281489
L. Hartjes,SBV Excelsior,2,0,0.4862321215356314,0.0,-0.4862321215356314
O. Targhalline,Feyenoord Rotterdam,2,1,0.5648802027981721,0.5,0.4351197972018279
