player,team,attempts,expected_box_entries,actual_box_entries,added_value
O. Edvardsen,AFC Ajax,28,13.402492505481685,13,-0.40249250548168547
D. Kasius,Alkmaar Zaanstreek,49,13.325659411777005,15,1.6743405882229947
K. Goudmijn,Go Ahead Eagles,40,13.311519410768376,10,-3.3115194107683763
T. Quintero,Sparta Rotterdam,46,13.117010227324451,10,-3.1170102273244513
R. van Cruijsen,FC Volendam,31,13.101469821134746,14,0.8985301788652542
A. MacNulty,PEC Zwolle,43,13.067149559161454,11,-2.0671495591614537
G. Offerhaus,SC Telstar,36,13.001827287122145,11,-2.001827287122145
M. Engels,Heracles Almelo,33,12.693878143698516,13,0.30612185630148403
C. Leemans,NAC Breda,38,12.651816819896156,10,-2.6518168198961565
R. van Wolfswinkel,FC Twente,23,12.543858350790767,10,-2.5438583507907673
D. Fonville,Nijmegen Eendracht Combinatie,35,12.468647369869213,14,1.5313526301307867
G. Yah,FC Volendam,32,12.348443993229814,13,0.6515560067701855
N. Naujoks,SBV Excelsior,29,12.178472843938225,7,-5.178472843938225
A. Oufkir,Sparta Rotterdam,33,12.016799197686375,8,-4.016799197686375
J. Karlsson,FC Utrecht,29,11.8469855840375,10,-1.8469855840374994
Lucas Rosa,AFC Ajax,36,11.73592203605632,9,-2.7359220360563192
T. Land,FC Groningen,23,11.715002014174985,13,1.2849979858250151
P. Ugwu,FC Volendam,33,11.336959324767472,10,-1.3369593247674718
S. Shoretire,PEC Zwolle,20,11.27839793369567,10,-1.2783979336956701
Hwang In-Beom,Feyenoord Rotterdam,29,11.25307641656921,11,-0.25307641656920943
O. Aertssen,PEC Zwolle,32,11.22410269931791,14,2.7758973006820895
T. Bruns,Heracles Almelo,32,11.204308690287208,13,1.795691309712792
E. Ahlstrand,Heracles Almelo,27,11.190968999014556,12,0.8090310009854438
J. Dahlhaus,Fortuna Sittard,48,11.178169337519273,9,-2.1781693375192734
E. Dijkstra,Alkmaar Zaanstreek,21,11.04240301732071,12,0.9575969826792896
D. de Wit,FC Utrecht,25,10.819854651826153,9,-1.8198546518261534
T. Blokzijl,FC Groningen,27,10.690808291346126,10,-0.6908082913461264
O. Kökçü,FC Volendam,27,10.657066842756448,12,1.342933157243552
S. Steijn,Feyenoord Rotterdam,22,10.653895706259162,15,4.346104293740838
T. Mercera,FC Groningen,25,10.649453161126823,11,0.3505468388731767
G. Read,Feyenoord Rotterdam,30,10.618145557844958,9,-1.618145557844958
J. Moder,Feyenoord Rotterdam,27,10.443470020602053,12,1.556529979397947
Y. Regeer,AFC Ajax,23,10.430333899191844,13,2.5696661008081563
D. Proper,Nijmegen Eendracht Combinatie,19,10.422603912072978,11,0.5773960879270224
M. Chávez,Alkmaar Zaanstreek,26,10.379965046033881,11,0.620034953966119
A. Salah-Eddine,PSV Eindhoven,24,10.246976865288909,11,0.753023134711091
T. Baeten,Go Ahead Eagles,45,10.246140240778182,7,-3.246140240778182
D. Klaassen,AFC Ajax,21,10.231794101852115,10,-0.23179410185211502
D. Janse,FC Groningen,34,10.067594872048486,11,0.9324051279515135
A. Kaplan,Nijmegen Eendracht Combinatie,24,10.063839347871129,10,-0.06383934787112899
S. Graves,PEC Zwolle,36,10.002358964931972,7,-3.0023589649319717
I. Sadiq,Alkmaar Zaanstreek,20,9.987982560178,13,3.0120174398219994
M. Seuntjens,FC Groningen,26,9.847456820268615,8,-1.847456820268615
N. Lebreton,Nijmegen Eendracht Combinatie,23,9.79540689714375,8,-1.7954068971437493
R. van Bommel,PSV Eindhoven,18,9.644198676553739,11,1.3558013234462614
S. Sambo,Sparta Rotterdam,27,9.624009532561399,9,-0.6240095325613986
L. Kulenović,Heracles Almelo,28,9.620633243153573,6,-3.6206332431535735
S. van Duijn,SC Telstar,23,9.567353148253426,9,-0.5673531482534262
M. Šín,Alkmaar Zaanstreek,14,9.532847013881767,9,-0.5328470138817671
C. Verdonk,Nijmegen Eendracht Combinatie,19,9.292277061925112,10,0.7077229380748875
K. Dolberg,AFC Ajax,16,9.219839849675823,8,-1.2198398496758234
